id,weight,VaccinationsUpToDate,age,diet,exercise,breed,Breed Predisposition,Obesity,Genetic Factors,Feline Diabetes
0,22,false,14,High-Protein Cat Food,0,British Shorthair,false,false,false,false
1,24,true,16,Kitten Food,1,Sphynx,true,true,true,true
2,34,false,17,Kitten Food,2,Maine Coon,false,false,false,false
3,30,true,11,High-Protein Cat Food,0,Bengal,true,true,true,true
4,15,false,3,Homemade Cat Food,1,British Shorthair,false,false,false,false
5,25,true,8,Senior Cat Food,2,Scottish Fold,true,true,true,true
6,21,false,15,Homemade Cat Food,0,Bengal,false,false,false,false
7,22,true,17,Homemade Cat Food,1,Bengal,true,true,true,true
8,13,false,8,Raw Food Diet (Raw Cat Food),2,Siamese,false,false,false,false
9,24,true,13,Grain-Free Cat Food,0,Maine Coon,true,true,true,true
10,17,false,10,Grain-Free Cat Food,1,Siamese,false,false,false,false
11,20,true,5,Senior Cat Food,2,Persian,true,true,true,true
12,16,false,5,Limited Ingredient Diet Cat Food,0,Siamese,false,false,false,false
13,24,true,1,Limited Ingredient Diet Cat Food,1,Ragdoll,true,true,true,true
14,17,false,9,Dry Cat Food (Kibble),2,Maine Coon,false,false,false,false
15,13,true,11,Limited Ingredient Diet Cat Food,0,Bengal,true,true,true,true
16,32,false,4,Kitten Food,1,Maine Coon,false,false,false,false
17,12,true,12,Canned/Wet Cat Food,2,British Shorthair,true,true,true,true
18,24,false,7,Kitten Food,0,Bengal,false,false,false,false
19,34,true,11,Raw Food Diet (Raw Cat Food),1,Birman,true,true,true,true
20,16,false,6,Prescription/Veterinary Diet Cat Food,2,Persian,false,false,false,false
21,25,true,17,Kitten Food,0,Sphynx,true,true,true,true
22,25,false,14,Dry Cat Food (Kibble),1,Birman,false,false,false,false
23,26,true,10,Limited Ingredient Diet Cat Food,2,Birman,true,true,true,true
24,27,false,10,Canned/Wet Cat Food,0,British Shorthair,false,false,false,false
25,30,true,14,Raw Food Diet (Raw Cat Food),1,Persian,true,true,true,true
26,34,false,6,High-Protein Cat Food,2,Abyssinian,false,false,false,false
27,27,true,11,Grain-Free Cat Food,0,Abyssinian,true,true,true,true
28,18,false,2,High-Protein Cat Food,1,Bengal,false,false,false,false
29,18,true,2,Grain-Free Cat Food,2,Bengal,true,true,true,true
30,23,false,13,Canned/Wet Cat Food,0,Siamese,false,false,false,false
31,13,true,10,Grain-Free Cat Food,1,Siamese,true,true,true,true
32,24,false,15,Canned/Wet Cat Food,2,Maine Coon,false,false,false,false
33,31,true,13,Raw Food Diet (Raw Cat Food),0,Sphynx,true,true,true,true
34,20,false,18,Raw Food Diet (Raw Cat Food),1,Maine Coon,false,false,false,false
35,14,true,5,Senior Cat Food,2,Abyssinian,true,true,true,true
36,13,false,6,Canned/Wet Cat Food,0,Abyssinian,false,false,false,false
37,35,true,18,Prescription/Veterinary Diet Cat Food,1,Sphynx,true,true,true,true
38,22,false,14,Canned/Wet Cat Food,2,Abyssinian,false,false,false,false
39,32,true,19,Dry Cat Food (Kibble),0,Siamese,true,true,true,true
40,18,false,1,Homemade Cat Food,1,Ragdoll,false,false,false,false
41,17,true,12,Canned/Wet Cat Food,2,Maine Coon,true,true,true,true
42,11,false,6,Homemade Cat Food,0,Birman,false,false,false,false
43,20,true,17,Prescription/Veterinary Diet Cat Food,1,Siamese,true,true,true,true
44,11,false,17,High-Protein Cat Food,2,Scottish Fold,false,false,false,false
45,33,true,12,Grain-Free Cat Food,0,Abyssinian,true,true,true,true
46,17,false,4,Senior Cat Food,1,Scottish Fold,false,false,false,false
47,21,true,7,High-Protein Cat Food,2,Scottish Fold,true,true,true,true
48,31,false,5,Senior Cat Food,0,Abyssinian,false,false,false,false
49,19,true,6,Grain-Free Cat Food,1,Bengal,true,true,true,true
50,21,false,12,Prescription/Veterinary Diet Cat Food,2,Abyssinian,false,false,false,false
51,35,true,18,Grain-Free Cat Food,0,Abyssinian,true,true,true,true
52,11,false,3,Homemade Cat Food,1,Ragdoll,false,false,false,false
53,12,true,2,Raw Food Diet (Raw Cat Food),2,British Shorthair,true,true,true,true
54,30,false,3,Canned/Wet Cat Food,0,Sphynx,false,false,false,false
55,20,true,16,Limited Ingredient Diet Cat Food,1,Birman,true,true,true,true
56,17,false,14,Canned/Wet Cat Food,2,British Shorthair,false,false,false,false
57,14,true,4,Canned/Wet Cat Food,0,Persian,true,true,true,true
58,12,false,12,Homemade Cat Food,1,Bengal,false,false,false,false
59,11,true,5,Homemade Cat Food,2,British Shorthair,true,true,true,true
60,25,false,12,Raw Food Diet (Raw Cat Food),0,Sphynx,false,false,false,false
61,22,true,7,Canned/Wet Cat Food,1,Siamese,true,true,true,true
62,32,false,12,Dry Cat Food (Kibble),2,Maine Coon,false,false,false,false
63,34,true,6,Prescription/Veterinary Diet Cat Food,0,British Shorthair,true,true,true,true
64,13,false,7,Raw Food Diet (Raw Cat Food),1,Abyssinian,false,false,false,false
65,21,true,15,Limited Ingredient Diet Cat Food,2,Ragdoll,true,true,true,true
66,18,false,12,Raw Food Diet (Raw Cat Food),0,British Shorthair,false,false,false,false
67,21,true,16,Prescription/Veterinary Diet Cat Food,1,Abyssinian,true,true,true,true
68,12,false,18,Prescription/Veterinary Diet Cat Food,2,Abyssinian,false,false,false,false
69,30,true,3,Grain-Free Cat Food,0,Abyssinian,true,true,true,true
70,25,false,5,Limited Ingredient Diet Cat Food,1,Scottish Fold,false,false,false,false
71,29,true,16,Limited Ingredient Diet Cat Food,2,British Shorthair,true,true,true,true
72,33,false,12,Senior Cat Food,0,Sphynx,false,false,false,false
73,14,true,18,Dry Cat Food (Kibble),1,Bengal,true,true,true,true
74,33,false,10,Limited Ingredient Diet Cat Food,2,Bengal,false,false,false,false
75,20,true,4,Limited Ingredient Diet Cat Food,0,Maine Coon,true,true,true,true
76,13,false,14,Homemade Cat Food,1,Sphynx,false,false,false,false
77,23,true,4,Canned/Wet Cat Food,2,Bengal,true,true,true,true
78,11,false,9,Homemade Cat Food,0,Sphynx,false,false,false,false
79,17,true,2,Senior Cat Food,1,Sphynx,true,true,true,true
80,32,false,16,Canned/Wet Cat Food,2,Siamese,false,false,false,false
81,16,true,8,Senior Cat Food,0,Siamese,true,true,true,true
82,34,false,7,Limited Ingredient Diet Cat Food,1,British Shorthair,false,false,false,false
83,32,true,12,Limited Ingredient Diet Cat Food,2,Scottish Fold,true,true,true,true
84,17,false,5,Senior Cat Food,0,Siamese,false,false,false,false
85,21,true,8,Dry Cat Food (Kibble),1,Ragdoll,true,true,true,true
86,22,false,2,Raw Food Diet (Raw Cat Food),2,Maine Coon,false,false,false,false
87,11,true,11,Limited Ingredient Diet Cat Food,0,Bengal,true,true,true,true
88,35,false,13,Prescription/Veterinary Diet Cat Food,1,Siamese,false,false,false,false
89,24,true,3,Prescription/Veterinary Diet Cat Food,2,Siamese,true,true,true,true
90,14,false,8,Limited Ingredient Diet Cat Food,0,Maine Coon,false,false,false,false
91,29,true,13,Limited Ingredient Diet Cat Food,1,Maine Coon,true,true,true,true
92,35,false,11,Limited Ingredient Diet Cat Food,2,Sphynx,false,false,false,false
93,29,true,10,Grain-Free Cat Food,0,Maine Coon,true,true,true,true
94,24,false,5,Kitten Food,1,British Shorthair,false,false,false,false
95,16,true,18,Senior Cat Food,2,Maine Coon,true,true,true,true
96,19,false,11,Senior Cat Food,0,Siamese,false,false,false,false
97,19,true,12,Homemade Cat Food,1,Birman,true,true,true,true
98,32,false,15,Prescription/Veterinary Diet Cat Food,2,Maine Coon,false,false,false,false
99,28,true,15,Senior Cat Food,0,Maine Coon,true,true,true,true
100,35,false,3,Homemade Cat Food,1,Maine Coon,false,false,false,false
101,13,true,9,High-Protein Cat Food,2,British Shorthair,true,true,true,true
102,23,false,11,Prescription/Veterinary Diet Cat Food,0,Persian,false,false,false,false
103,13,true,19,Canned/Wet Cat Food,1,British Shorthair,true,true,true,true
104,16,false,5,Canned/Wet Cat Food,2,Birman,false,false,false,false
105,12,true,11,Prescription/Veterinary Diet Cat Food,0,Scottish Fold,true,true,true,true
106,27,false,10,Kitten Food,1,Scottish Fold,false,false,false,false
107,32,true,10,High-Protein Cat Food,2,Abyssinian,true,true,true,true
108,24,false,2,Raw Food Diet (Raw Cat Food),0,Scottish Fold,false,false,false,false
109,26,true,3,Senior Cat Food,1,Birman,true,true,true,true
110,18,false,7,Canned/Wet Cat Food,2,Maine Coon,false,false,false,false
111,30,true,18,Prescription/Veterinary Diet Cat Food,0,British Shorthair,true,true,true,true
112,20,false,2,Grain-Free Cat Food,1,British Shorthair,false,false,false,false
113,11,true,4,Homemade Cat Food,2,Persian,true,true,true,true
114,27,false,18,Senior Cat Food,0,Ragdoll,false,false,false,false
115,28,true,9,Senior Cat Food,1,Scottish Fold,true,true,true,true
116,12,false,15,Kitten Food,2,Bengal,false,false,false,false
117,15,true,5,High-Protein Cat Food,0,Ragdoll,true,true,true,true
118,12,false,12,Homemade Cat Food,1,Persian,false,false,false,false
119,29,true,15,Canned/Wet Cat Food,2,Abyssinian,true,true,true,true
120,23,false,11,Prescription/Veterinary Diet Cat Food,0,Siamese,false,false,false,false
121,14,true,7,High-Protein Cat Food,1,Birman,true,true,true,true
122,22,false,10,Homemade Cat Food,2,Siamese,false,false,false,false
123,23,true,11,Homemade Cat Food,0,Scottish Fold,true,true,true,true
124,24,false,16,Canned/Wet Cat Food,1,Siamese,false,false,false,false
125,22,true,7,Limited Ingredient Diet Cat Food,2,British Shorthair,true,true,true,true
126,33,false,19,Prescription/Veterinary Diet Cat Food,0,Ragdoll,false,false,false,false
127,16,true,8,Grain-Free Cat Food,1,Ragdoll,true,true,true,true
128,21,false,12,Raw Food Diet (Raw Cat Food),2,Abyssinian,false,false,false,false
129,13,true,5,Senior Cat Food,0,Siamese,true,true,true,true
130,35,false,16,Raw Food Diet (Raw Cat Food),1,British Shorthair,false,false,false,false
131,14,true,18,Raw Food Diet (Raw Cat Food),2,Ragdoll,true,true,true,true
132,29,false,2,High-Protein Cat Food,0,Scottish Fold,false,false,false,false
133,35,true,1,Grain-Free Cat Food,1,British Shorthair,true,true,true,true
134,25,false,4,Canned/Wet Cat Food,2,Bengal,false,false,false,false
135,16,true,5,Senior Cat Food,0,Maine Coon,true,true,true,true
136,12,false,16,Homemade Cat Food,1,Abyssinian,false,false,false,false
137,32,true,10,Kitten Food,2,Bengal,true,true,true,true
138,12,false,16,High-Protein Cat Food,0,Bengal,false,false,false,false
139,23,true,15,High-Protein Cat Food,1,British Shorthair,true,true,true,true
140,29,false,17,Prescription/Veterinary Diet Cat Food,2,Scottish Fold,false,false,false,false
141,18,true,13,Raw Food Diet (Raw Cat Food),0,British Shorthair,true,true,true,true
142,14,false,3,Senior Cat Food,1,British Shorthair,false,false,false,false
143,27,true,13,High-Protein Cat Food,2,Abyssinian,true,true,true,true
144,18,false,14,Grain-Free Cat Food,0,Ragdoll,false,false,false,false
145,10,true,14,Grain-Free Cat Food,1,Siamese,true,true,true,true
146,34,false,18,Raw Food Diet (Raw Cat Food),2,Siamese,false,false,false,false
147,12,true,18,Limited Ingredient Diet Cat Food,0,Scottish Fold,true,true,true,true
148,22,false,4,Grain-Free Cat Food,1,Maine Coon,false,false,false,false
149,12,true,9,Dry Cat Food (Kibble),2,Abyssinian,true,true,true,true
150,35,false,5,Raw Food Diet (Raw Cat Food),0,Scottish Fold,false,false,false,false
151,24,true,4,Raw Food Diet (Raw Cat Food),1,Sphynx,true,true,true,true
152,15,false,14,Limited Ingredient Diet Cat Food,2,British Shorthair,false,false,false,false
153,31,true,16,Senior Cat Food,0,Maine Coon,true,true,true,true
154,21,false,17,Prescription/Veterinary Diet Cat Food,1,Sphynx,false,false,false,false
155,21,true,15,Limited Ingredient Diet Cat Food,2,Bengal,true,true,true,true
156,31,false,6,High-Protein Cat Food,0,Bengal,false,false,false,false
157,27,true,5,Grain-Free Cat Food,1,Maine Coon,true,true,true,true
158,22,false,18,Canned/Wet Cat Food,2,British Shorthair,false,false,false,false
