id,weight,VaccinationsUpToDate,age,diet,exercise,breed,Breed Predisposition,Joint Trauma Or Injury,Obesity,Genetic Factors,Canine Osteoarthritis
0,22,false,14,High-Protein Diet,0,Bulldog,false,false,false,false,false
1,24,true,16,Large Breed Dog Food,1,Poodle,true,true,true,true,true
2,34,false,17,Large Breed Dog Food,2,French Bulldog,false,false,false,false,false
3,30,true,11,High-Protein Diet,0,Beagle,true,true,true,true,true
4,15,false,3,Homemade Dog Food,1,Bulldog,false,false,false,false,false
5,25,true,8,Small Breed Dog Food,2,Dachshund,true,true,true,true,true
6,21,false,15,Homemade Dog Food,0,Beagle,false,false,false,false,false
7,22,true,17,Homemade Dog Food,1,Beagle,true,true,true,true,true
8,13,false,8,Raw Food Diet,2,German Shepherd,false,false,false,false,false
9,24,true,13,Grain-Free Diet,0,French Bulldog,true,true,true,true,true
10,17,false,10,Grain-Free Diet,1,German Shepherd,false,false,false,false,false
11,20,true,5,Small Breed Dog Food,2,Labrador Retriever,true,true,true,true,true
12,16,false,5,Limited Ingredient Diet,0,German Shepherd,false,false,false,false,false
13,24,true,1,Limited Ingredient Diet,1,Golden Retriever,true,true,true,true,true
14,17,false,9,Dry Kibble,2,French Bulldog,false,false,false,false,false
15,13,true,11,Limited Ingredient Diet,0,Beagle,true,true,true,true,true
16,32,false,4,Large Breed Dog Food,1,French Bulldog,false,false,false,false,false
17,12,true,12,Canned/Wet Food,2,Bulldog,true,true,true,true,true
18,24,false,7,Large Breed Dog Food,0,Beagle,false,false,false,false,false
19,34,true,11,Raw Food Diet,1,Yorkshire Terrier,true,true,true,true,true
20,16,false,6,Prescription/Veterinary Diet,2,Labrador Retriever,false,false,false,false,false
21,25,true,17,Large Breed Dog Food,0,Poodle,true,true,true,true,true
22,25,false,14,Dry Kibble,1,Yorkshire Terrier,false,false,false,false,false
23,26,true,10,Limited Ingredient Diet,2,Yorkshire Terrier,true,true,true,true,true
24,27,false,10,Canned/Wet Food,0,Bulldog,false,false,false,false,false
25,30,true,14,Raw Food Diet,1,Labrador Retriever,true,true,true,true,true
26,34,false,6,High-Protein Diet,2,Rottweiler,false,false,false,false,false
27,27,true,11,Grain-Free Diet,0,Rottweiler,true,true,true,true,true
28,18,false,2,High-Protein Diet,1,Beagle,false,false,false,false,false
29,18,true,2,Grain-Free Diet,2,Beagle,true,true,true,true,true
30,23,false,13,Canned/Wet Food,0,German Shepherd,false,false,false,false,false
31,13,true,10,Grain-Free Diet,1,German Shepherd,true,true,true,true,true
32,24,false,15,Canned/Wet Food,2,French Bulldog,false,false,false,false,false
33,31,true,13,Raw Food Diet,0,Poodle,true,true,true,true,true
34,20,false,18,Raw Food Diet,1,French Bulldog,false,false,false,false,false
35,14,true,5,Small Breed Dog Food,2,Rottweiler,true,true,true,true,true
36,13,false,6,Canned/Wet Food,0,Rottweiler,false,false,false,false,false
37,35,true,18,Prescription/Veterinary Diet,1,Poodle,true,true,true,true,true
38,22,false,14,Canned/Wet Food,2,Rottweiler,false,false,false,false,false
39,32,true,19,Dry Kibble,0,German Shepherd,true,true,true,true,true
40,18,false,1,Homemade Dog Food,1,Golden Retriever,false,false,false,false,false
41,17,true,12,Canned/Wet Food,2,French Bulldog,true,true,true,true,true
42,11,false,6,Homemade Dog Food,0,Yorkshire Terrier,false,false,false,false,false
43,20,true,17,Prescription/Veterinary Diet,1,German Shepherd,true,true,true,true,true
44,11,false,17,High-Protein Diet,2,Dachshund,false,false,false,false,false
45,33,true,12,Grain-Free Diet,0,Rottweiler,true,true,true,true,true
46,17,false,4,Small Breed Dog Food,1,Dachshund,false,false,false,false,false
47,21,true,7,High-Protein Diet,2,Dachshund,true,true,true,true,true
48,31,false,5,Small Breed Dog Food,0,Rottweiler,false,false,false,false,false
49,19,true,6,Grain-Free Diet,1,Beagle,true,true,true,true,true
50,21,false,12,Prescription/Veterinary Diet,2,Rottweiler,false,false,false,false,false
51,35,true,18,Grain-Free Diet,0,Rottweiler,true,true,true,true,true
52,11,false,3,Homemade Dog Food,1,Golden Retriever,false,false,false,false,false
53,12,true,2,Raw Food Diet,2,Bulldog,true,true,true,true,true
54,30,false,3,Canned/Wet Food,0,Poodle,false,false,false,false,false
55,20,true,16,Limited Ingredient Diet,1,Yorkshire Terrier,true,true,true,true,true
56,17,false,14,Canned/Wet Food,2,Bulldog,false,false,false,false,false
57,14,true,4,Canned/Wet Food,0,Labrador Retriever,true,true,true,true,true
58,12,false,12,Homemade Dog Food,1,Beagle,false,false,false,false,false
59,11,true,5,Homemade Dog Food,2,Bulldog,true,true,true,true,true
60,25,false,12,Raw Food Diet,0,Poodle,false,false,false,false,false
61,22,true,7,Canned/Wet Food,1,German Shepherd,true,true,true,true,true
62,32,false,12,Dry Kibble,2,French Bulldog,false,false,false,false,false
63,34,true,6,Prescription/Veterinary Diet,0,Bulldog,true,true,true,true,true
64,13,false,7,Raw Food Diet,1,Rottweiler,false,false,false,false,false
65,21,true,15,Limited Ingredient Diet,2,Golden Retriever,true,true,true,true,true
66,18,false,12,Raw Food Diet,0,Bulldog,false,false,false,false,false
67,21,true,16,Prescription/Veterinary Diet,1,Rottweiler,true,true,true,true,true
68,12,false,18,Prescription/Veterinary Diet,2,Rottweiler,false,false,false,false,false
69,30,true,3,Grain-Free Diet,0,Rottweiler,true,true,true,true,true
70,25,false,5,Limited Ingredient Diet,1,Dachshund,false,false,false,false,false
71,29,true,16,Limited Ingredient Diet,2,Bulldog,true,true,true,true,true
72,33,false,12,Small Breed Dog Food,0,Poodle,false,false,false,false,false
73,14,true,18,Dry Kibble,1,Beagle,true,true,true,true,true
74,33,false,10,Limited Ingredient Diet,2,Beagle,false,false,false,false,false
75,20,true,4,Limited Ingredient Diet,0,French Bulldog,true,true,true,true,true
76,13,false,14,Homemade Dog Food,1,Poodle,false,false,false,false,false
77,23,true,4,Canned/Wet Food,2,Beagle,true,true,true,true,true
78,11,false,9,Homemade Dog Food,0,Poodle,false,false,false,false,false
79,17,true,2,Small Breed Dog Food,1,Poodle,true,true,true,true,true
80,32,false,16,Canned/Wet Food,2,German Shepherd,false,false,false,false,false
81,16,true,8,Small Breed Dog Food,0,German Shepherd,true,true,true,true,true
82,34,false,7,Limited Ingredient Diet,1,Bulldog,false,false,false,false,false
83,32,true,12,Limited Ingredient Diet,2,Dachshund,true,true,true,true,true
84,17,false,5,Small Breed Dog Food,0,German Shepherd,false,false,false,false,false
85,21,true,8,Dry Kibble,1,Golden Retriever,true,true,true,true,true
86,22,false,2,Raw Food Diet,2,French Bulldog,false,false,false,false,false
87,11,true,11,Limited Ingredient Diet,0,Beagle,true,true,true,true,true
88,35,false,13,Prescription/Veterinary Diet,1,German Shepherd,false,false,false,false,false
89,24,true,3,Prescription/Veterinary Diet,2,German Shepherd,true,true,true,true,true
90,14,false,8,Limited Ingredient Diet,0,French Bulldog,false,false,false,false,false
91,29,true,13,Limited Ingredient Diet,1,French Bulldog,true,true,true,true,true
92,35,false,11,Limited Ingredient Diet,2,Poodle,false,false,false,false,false
93,29,true,10,Grain-Free Diet,0,French Bulldog,true,true,true,true,true
94,24,false,5,Large Breed Dog Food,1,Bulldog,false,false,false,false,false
95,16,true,18,Small Breed Dog Food,2,French Bulldog,true,true,true,true,true
96,19,false,11,Small Breed Dog Food,0,German Shepherd,false,false,false,false,false
97,19,true,12,Homemade Dog Food,1,Yorkshire Terrier,true,true,true,true,true
98,32,false,15,Prescription/Veterinary Diet,2,French Bulldog,false,false,false,false,false
99,28,true,15,Small Breed Dog Food,0,French Bulldog,true,true,true,true,true
100,35,false,3,Homemade Dog Food,1,French Bulldog,false,false,false,false,false
101,13,true,9,High-Protein Diet,2,Bulldog,true,true,true,true,true
102,23,false,11,Prescription/Veterinary Diet,0,Labrador Retriever,false,false,false,false,false
103,13,true,19,Canned/Wet Food,1,Bulldog,true,true,true,true,true
104,16,false,5,Canned/Wet Food,2,Yorkshire Terrier,false,false,false,false,false
105,12,true,11,Prescription/Veterinary Diet,0,Dachshund,true,true,true,true,true
106,27,false,10,Large Breed Dog Food,1,Dachshund,false,false,false,false,false
107,32,true,10,High-Protein Diet,2,Rottweiler,true,true,true,true,true
108,24,false,2,Raw Food Diet,0,Dachshund,false,false,false,false,false
109,26,true,3,Small Breed Dog Food,1,Yorkshire Terrier,true,true,true,true,true
110,18,false,7,Canned/Wet Food,2,French Bulldog,false,false,false,false,false
111,30,true,18,Prescription/Veterinary Diet,0,Bulldog,true,true,true,true,true
112,20,false,2,Grain-Free Diet,1,Bulldog,false,false,false,false,false
113,11,true,4,Homemade Dog Food,2,Labrador Retriever,true,true,true,true,true
114,27,false,18,Small Breed Dog Food,0,Golden Retriever,false,false,false,false,false
115,28,true,9,Small Breed Dog Food,1,Dachshund,true,true,true,true,true
116,12,false,15,Large Breed Dog Food,2,Beagle,false,false,false,false,false
117,15,true,5,High-Protein Diet,0,Golden Retriever,true,true,true,true,true
118,12,false,12,Homemade Dog Food,1,Labrador Retriever,false,false,false,false,false
